Periodo,Ciudad,Operacion,Tipo,Colonia,n,precio_min,precio_mean,precio_max,area_m2_min,area_m2_mean,area_m2_max,PxM2_min,PxM2_mean,PxM2_max
Sep25,Zap,Ren,Dep,27 de Septiembre,1,13000.0,13000.0,13000.0,75.0,75.0,75.0,173.3333333,173.3333333,173.3333333
Sep25,Zap,Ren,Dep,Alamitos,1,18000.0,18000.0,18000.0,60.0,60.0,60.0,300.0,300.0,300.0
Sep25,Zap,Ren,Dep,Alma Terra,1,5500.0,5500.0,5500.0,44.0,44.0,44.0,125.0,125.0,125.0
Sep25,Zap,Ren,Dep,Altamira,4,21500.0,26250.0,29500.0,85.0,104.75,118.0,219.3877551,252.31702852499998,294.1176471
Sep25,Zap,Ren,Dep,Arcos de Guadalupe,8,6800.0,19500.0,29000.0,30.0,78.625,130.0,170.0,259.060788525,366.6666667
Sep25,Zap,Ren,Dep,Arcos de Zapopan,1,8600.0,8600.0,8600.0,35.0,35.0,35.0,245.7142857,245.7142857,245.7142857
Sep25,Zap,Ren,Dep,Arenales Tapatíos,1,9500.0,9500.0,9500.0,42.0,42.0,42.0,226.1904762,226.1904762,226.1904762
Sep25,Zap,Ren,Dep,Atlas Chapalita,1,28000.0,28000.0,28000.0,92.0,92.0,92.0,304.3478261,304.3478261,304.3478261
Sep25,Zap,Ren,Dep,Base Aérea Militar No 5,2,19000.0,21000.0,23000.0,38.0,61.5,85.0,270.5882353,385.29411765,500.0
Sep25,Zap,Ren,Dep,Belenes Norte,1,16500.0,16500.0,16500.0,60.0,60.0,60.0,275.0,275.0,275.0
Sep25,Zap,Ren,Dep,Boreales,4,12500.0,14775.0,16800.0,55.0,65.0,79.0,196.2025316,232.584563775,305.4545455
Sep25,Zap,Ren,Dep,Bosque de Los Virreyes,1,49000.0,49000.0,49000.0,220.0,220.0,220.0,222.7272727,222.7272727,222.7272727
Sep25,Zap,Ren,Dep,Bosques de San Isidro (Las Cañadas),1,11000.0,11000.0,11000.0,50.0,50.0,50.0,220.0,220.0,220.0
Sep25,Zap,Ren,Dep,Camino Real,5,28000.0,30600.0,35000.0,100.0,143.4,176.0,181.8181818,220.36493505999997,290.0
Sep25,Zap,Ren,Dep,Cañadas de San Lorenzo,7,12000.0,15000.0,22000.0,60.0,70.28571428571429,76.0,157.8947368,214.3379305285714,305.5555556
Sep25,Zap,Ren,Dep,Centro,5,9000.0,18305.4,23600.0,39.0,71.2,90.0,150.0,279.83454324,536.5897436
Sep25,Zap,Ren,Dep,Chapalita Oriente,1,17000.0,17000.0,17000.0,72.0,72.0,72.0,236.1111111,236.1111111,236.1111111
Sep25,Zap,Ren,Dep,Chapalita Sur,2,7200.0,10600.0,14000.0,36.0,38.0,40.0,200.0,275.0,350.0
Sep25,Zap,Ren,Dep,Chapalita de Occidente,4,8370.0,14667.5,23000.0,40.0,70.0,130.0,138.4615385,227.195741775,328.5714286
Sep25,Zap,Ren,Dep,Cima Real,6,26500.0,32416.666666666668,38000.0,95.0,136.66666666666666,228.0,166.6666667,253.13763058333333,305.785124
Sep25,Zap,Ren,Dep,Ciudad Bugambilias,2,12500.0,16000.0,19500.0,90.0,112.5,135.0,138.8888889,141.66666665000002,144.4444444
Sep25,Zap,Ren,Dep,Ciudad Granja,19,13000.0,21611.263157894737,34000.0,30.0,89.15789473684211,170.0,199.3174603,268.5661719368421,433.3333333
Sep25,Zap,Ren,Dep,Ciudad de Los Niños,4,12000.0,18200.0,28000.0,55.0,82.5,122.0,155.7377049,226.24869797500003,301.0752688
Sep25,Zap,Ren,Dep,Ciudad del Sol,3,24000.0,25000.0,26000.0,146.0,152.66666666666666,162.0,154.3209877,164.01262753333333,173.3333333
Sep25,Zap,Ren,Dep,Colegio del Aire,1,14000.0,14000.0,14000.0,72.0,72.0,72.0,194.4444444,194.4444444,194.4444444
Sep25,Zap,Ren,Dep,Colinas Virreyes,1,40000.0,40000.0,40000.0,144.0,144.0,144.0,277.7777778,277.7777778,277.7777778
Sep25,Zap,Ren,Dep,Colinas de Los Robles,1,8900.0,8900.0,8900.0,47.0,47.0,47.0,189.3617021,189.3617021,189.3617021
Sep25,Zap,Ren,Dep,Colinas de San Javier,3,19600.0,30033.333333333332,40000.0,70.0,107.33333333333333,159.0,251.572327,286.5097720666667,327.9569892
Sep25,Zap,Ren,Dep,Colinas del Rey,1,12000.0,12000.0,12000.0,76.0,76.0,76.0,157.8947368,157.8947368,157.8947368
Sep25,Zap,Ren,Dep,Constitución,1,18000.0,18000.0,18000.0,58.0,58.0,58.0,310.3448276,310.3448276,310.3448276
Sep25,Zap,Ren,Dep,Cordilleras,3,12990.0,19996.666666666668,25000.0,60.0,93.0,132.0,189.3939394,219.58916753333335,252.8735632
