id,PaginaWeb,Ciudad,Colonia,operacion,tipo_propiedad,area_m2,recamaras,estacionamientos,precio,mantenimiento,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2,Fecha_Scrap,__dup_key
Sep25_2283c255,Inm24,Desconocido,Desconocida,Ven,Cas,210.0,3.0,2.0,8850000.0,1500.0,-103.476553,20.731679,25.0,4.0,0,42142.857142857145,01/09/2025,Desconocido|Desconocida|8850000.0|210.0|Cas
Sep25_452064a5,Inm24,Desconocido,Desconocida,Ven,Cas,330.0,5.0,4.0,13792956.0,,-103.471794,20.729244,13.0,5.5,0,41796.836363636365,01/09/2025,Desconocido|Desconocida|13792956.0|330.0|Cas
Sep25_9ff52cf4,Inm24,Desconocido,Desconocida,Ven,Cas,185.0,3.0,2.0,5400000.0,1160.0,-103.404595,20.766493,155.0,2.5,0,29189.18918918919,01/09/2025,Desconocido|Desconocida|5400000.0|185.0|Cas
Sep25_84965602,Inm24,Desconocido,Desconocida,Ven,Cas,240.0,3.0,2.0,8400000.0,1300.0,-103.471609,20.729907,191.0,5.0,0,35000.0,01/09/2025,Desconocido|Desconocida|8400000.0|240.0|Cas
Sep25_000bffd5,Inm24,Desconocido,Desconocida,Ven,Cas,837.0,5.0,4.0,20000000.0,2079.0,-103.592435,20.735252,31.0,8.0,9,23894.862604540023,01/09/2025,Desconocido|Desconocida|20000000.0|837.0|Cas
Sep25_e5d764ac,Inm24,Desconocido,Desconocida,Ven,Cas,227.0,3.0,2.0,8400000.0,,-103.474274,20.73057,47.0,4.0,0,37004.405286343615,01/09/2025,Desconocido|Desconocida|8400000.0|227.0|Cas
Sep25_ec61e7a0,Inm24,Desconocido,Desconocida,Ven,Cas,365.0,5.0,2.0,8617500.0,,-103.47663,20.723912,,5.0,0,23609.58904109589,01/09/2025,Desconocido|Desconocida|8617500.0|365.0|Cas
Sep25_35b06328,Inm24,Desconocido,Desconocida,Ven,Cas,610.0,4.0,6.0,32500000.0,4500.0,-103.473577,20.710514,77.0,5.0,0,53278.688524590165,01/09/2025,Desconocido|Desconocida|32500000.0|610.0|Cas
Sep25_a5bef9d4,Inm24,Desconocido,Desconocida,Ven,Cas,225.0,3.0,2.0,3900000.0,,-103.611769,20.768331,,3.5,en construcción,17333.333333333332,01/09/2025,Desconocido|Desconocida|3900000.0|225.0|Cas
Sep25_b69bcf86,Inm24,Desconocido,Desconocida,Ven,Cas,245.0,4.0,2.0,9140000.0,,-103.474261,20.729847,103.0,5.0,0,37306.12244897959,01/09/2025,Desconocido|Desconocida|9140000.0|245.0|Cas
Sep25_2540e93e,Inm24,Desconocido,Desconocida,Ven,Cas,258.0,5.0,4.0,8600000.0,1500.0,-103.478773,20.723636,29.0,5.5,0,33333.333333333336,01/09/2025,Desconocido|Desconocida|8600000.0|258.0|Cas
Sep25_1983d7eb,Inm24,Desconocido,Desconocida,Ven,Cas,165.0,3.0,2.0,7280000.0,490.0,-103.479588,20.72519,333.0,3.5,0,44121.21212121212,01/09/2025,Desconocido|Desconocida|7280000.0|165.0|Cas
Sep25_0f0e7c46,Inm24,Desconocido,Desconocida,Ven,Cas,163.0,4.0,2.0,6900000.0,,-103.481473,20.727396,90.0,4.5,0,42331.288343558284,01/09/2025,Desconocido|Desconocida|6900000.0|163.0|Cas
Sep25_f5228dd9,Inm24,Desconocido,Desconocida,Ven,Cas,232.0,3.0,3.0,8600000.0,,-103.480186,20.726147,77.0,4.0,0,37068.96551724138,01/09/2025,Desconocido|Desconocida|8600000.0|232.0|Cas
Sep25_eefc75db,Inm24,Desconocido,Desconocida,Ven,Cas,165.0,4.0,3.0,7950000.0,1800.0,-103.479089,20.726294,91.0,5.0,0,48181.81818181818,01/09/2025,Desconocido|Desconocida|7950000.0|165.0|Cas
Sep25_f24de67a,Inm24,Desconocido,Desconocida,Ven,Cas,226.0,5.0,2.0,7896500.0,,-103.480884,20.725244,,5.0,0,34940.265486725664,01/09/2025,Desconocido|Desconocida|7896500.0|226.0|Cas
