id,PaginaWeb,Ciudad,Fecha_Scrap,tipo_propiedad,area_m2,recamaras,estacionamientos,operacion,precio,mantenimiento,Colonia,longitud,latitud,tiempo_publicacion,Banos_totales,antiguedad_icon,PxM2
Sep25_d49311a4,Inm24,Gdl,01/09/2025,Dep,133.0,3.0,2.0,Ven,5750000.0,,Obrera,-103.369794,20.668225,229.0,2.5,0,43233.082706766916
Sep25_9b754919,Inm24,Gdl,01/09/2025,Dep,180.0,2.0,2.0,Ven,7910000.0,5300.0,Vallarta Norte,-103.392375,20.67858,50.0,2.0,0,43944.444444444445
Sep25_dc3b3ad4,Inm24,Gdl,01/09/2025,Dep,142.0,2.0,2.0,Ven,8000000.0,,Prados Providencia,-103.393615,20.691143,,2.5,3,56338.028169014084
Sep25_7660bc97,Inm24,Gdl,01/09/2025,Dep,181.0,3.0,2.0,Ven,11200000.0,,Monraz,-103.397206,20.684892,,3.5,,61878.45303867403
Sep25_9b754919,Inm24,Gdl,01/09/2025,Dep,180.0,2.0,2.0,Ven,7910000.0,5300.0,Vallarta Norte,-103.392375,20.67858,50.0,2.0,0,43944.444444444445
Sep25_d49311a4,Inm24,Gdl,01/09/2025,Dep,133.0,3.0,2.0,Ven,5750000.0,,Obrera,-103.369794,20.668225,229.0,2.5,0,43233.082706766916
Sep25_7fd6cc3f,Inm24,Gdl,01/09/2025,Dep,79.0,1.0,1.0,Ven,3550000.0,2500.0,Arcos,-103.379251,20.66787,161.0,1.5,4,44936.70886075949
Sep25_1abf1870,Inm24,Gdl,01/09/2025,Dep,77.0,2.0,1.0,Ven,4190000.0,,Arcos,-103.379247,20.667884,65.0,2.0,3,54415.58441558442
Sep25_90c148a5,Inm24,Gdl,01/09/2025,Dep,136.0,2.0,2.0,Ven,9000000.0,5000.0,Monraz,-103.397206,20.684892,,3.5,,66176.4705882353
Sep25_8047333a,Inm24,Gdl,01/09/2025,Dep,50.0,1.0,1.0,Ven,3700000.0,,Ladrón de Guevara,-103.373347,20.693717,,1.0,3,74000.0
Sep25_723e61ee,Inm24,Gdl,01/09/2025,Dep,66.0,2.0,1.0,Ven,2850000.0,3000.0,El Retiro,-103.341458,20.681816,64.0,2.0,,43181.818181818184
Sep25_5633aab3,Inm24,Gdl,01/09/2025,Dep,116.0,2.0,2.0,Ven,7800000.0,4200.0,Ladrón de Guevara,-103.370702,20.676664,33.0,2.0,10,67241.37931034483
Sep25_373fa116,Inm24,Gdl,01/09/2025,Dep,86.0,2.0,2.0,Ven,4900000.0,2900.0,Arcos Vallarta,-103.382079,20.673451,279.0,2.0,4,56976.74418604651
Sep25_f2e31914,Inm24,Gdl,01/09/2025,Dep,85.0,2.0,1.0,Ven,6000000.0,3500.0,Ladrón de Guevara,-103.377114,20.67657,,2.0,3,70588.23529411765
Sep25_c087bd48,Inm24,Gdl,01/09/2025,Dep,75.0,2.0,1.0,Ven,4700000.0,,Arcos Vallarta,-103.377982,20.675774,83.0,2.0,2,62666.666666666664
Sep25_c5e71864,Inm24,Gdl,01/09/2025,Dep,160.0,3.0,4.0,Ven,13900000.0,,Country Club,-103.369226,20.703186,51.0,4.5,,86875.0
Sep25_f2293366,Inm24,Gdl,01/09/2025,Dep,127.0,2.0,2.0,Ven,6550000.0,3000.0,Jardines del Bosque,-103.381937,20.66586,284.0,2.5,1,51574.8031496063
Sep25_96c3f1fc,Inm24,Gdl,01/09/2025,Dep,102.0,3.0,2.0,Ven,5699000.0,,Ladrón de Guevara,-103.370291,20.678878,47.0,2.5,1,55872.549019607846
Sep25_f2293366,Inm24,Gdl,01/09/2025,Dep,127.0,2.0,2.0,Ven,6550000.0,3000.0,Jardines del Bosque,-103.381937,20.66586,284.0,2.5,1,51574.8031496063
Sep25_15b17460,Inm24,Gdl,01/09/2025,Dep,127.0,2.0,2.0,Ven,8600000.0,,Jardines del Bosque,-103.380635,20.666867,12.0,2.5,0,67716.53543307087
Sep25_a879c5bc,Inm24,Gdl,01/09/2025,Dep,77.0,1.0,1.0,Ren,3750000.0,2770.0,Ayuntamiento,-103.370903,20.691516,92.0,2.0,10,48701.2987012987
Sep25_33dfcd58,Inm24,Gdl,01/09/2025,Dep,103.0,2.0,2.0,Ven,4900000.0,2320.0,Arcos Vallarta,-103.382035,20.673493,,2.0,5,47572.81553398058
Sep25_a40d13ea,Inm24,Gdl,01/09/2025,Dep,250.0,3.0,2.0,Ven,10000000.0,,Arcos Vallarta,-103.386205,20.675032,,3.5,0,40000.0
Sep25_5aed0ace,Inm24,Gdl,01/09/2025,Dep,67.0,1.0,,Ven,4290000.0,,Americana,-103.372786,20.673182,77.0,2.0,0,64029.850746268654
Sep25_05c6c1aa,Inm24,Gdl,01/09/2025,Dep,50.0,1.0,1.0,Ven,3480000.0,,Obrera,-103.371257,20.668433,120.0,1.0,2,69600.0
Sep25_acbde161,Inm24,Gdl,01/09/2025,Dep,67.0,2.0,1.0,Ven,4300000.0,,Americana,-103.367904,20.667766,,2.0,5,64179.10447761194
Sep25_f632db92,Inm24,Gdl,01/09/2025,Dep,75.0,2.0,1.0,Ven,4450000.0,,Arcos Vallarta,-103.38019,20.668125,51.0,2.0,0,59333.333333333336
