id,variable,valor,flag_iqr,flag_zscore,low_iqr,high_iqr
Sep25_6d1edcf8,precio,24500000.0,1,0,-6700000.0,21300000.0
Sep25_47f00124,precio,30177011.0,1,0,-6700000.0,21300000.0
Sep25_9763a871,precio,69000000.0,1,1,-6700000.0,21300000.0
Sep25_71daa1e7,precio,31500000.0,1,0,-6700000.0,21300000.0
Sep25_58aaf630,precio,35737840.0,1,0,-6700000.0,21300000.0
Sep25_b3e403ca,precio,26990000.0,1,0,-6700000.0,21300000.0
Sep25_01e7896b,precio,24400000.0,1,0,-6700000.0,21300000.0
Sep25_f4abbeb5,precio,27750000.0,1,0,-6700000.0,21300000.0
Sep25_14003d46,precio,31712538.0,1,0,-6700000.0,21300000.0
Sep25_33d9f512,precio,27500000.0,1,0,-6700000.0,21300000.0
Sep25_79a0e4ca,precio,23990000.0,1,0,-6700000.0,21300000.0
Sep25_2ebafa62,precio,32615000.0,1,0,-6700000.0,21300000.0
Sep25_5267af8e,precio,27974632.0,1,0,-6700000.0,21300000.0
Sep25_77bd80e3,precio,59000000.0,1,1,-6700000.0,21300000.0
Sep25_bf2d17d2,precio,38000000.0,1,0,-6700000.0,21300000.0
Sep25_366d4cfa,precio,26800000.0,1,0,-6700000.0,21300000.0
Sep25_2938b0d1,precio,24500000.0,1,0,-6700000.0,21300000.0
Sep25_35604c7b,precio,28546969.0,1,0,-6700000.0,21300000.0
Sep25_5c3125a8,precio,27990000.0,1,0,-6700000.0,21300000.0
Sep25_67182ccd,precio,31497138.0,1,0,-6700000.0,21300000.0
Sep25_252a3f44,precio,27500000.0,1,0,-6700000.0,21300000.0
Sep25_aa8d9a34,precio,25000000.0,1,0,-6700000.0,21300000.0
Sep25_6277b0d7,precio,45000000.0,1,1,-6700000.0,21300000.0
Sep25_0c427024,precio,35000000.0,1,0,-6700000.0,21300000.0
Sep25_7c79f65a,precio,27925999.0,1,0,-6700000.0,21300000.0
Sep25_29339ef1,precio,30000000.0,1,0,-6700000.0,21300000.0
Sep25_1e455614,precio,35000000.0,1,0,-6700000.0,21300000.0
Sep25_988bcdce,precio,32900000.0,1,0,-6700000.0,21300000.0
Sep25_dc81e8a6,precio,33549999.0,1,0,-6700000.0,21300000.0
Sep25_4091d4bc,precio,27500000.0,1,0,-6700000.0,21300000.0
Sep25_b8725f83,precio,32800000.0,1,0,-6700000.0,21300000.0
Sep25_d02a8479,precio,28000000.0,1,0,-6700000.0,21300000.0
Sep25_e75f8f78,precio,24000000.0,1,0,-6700000.0,21300000.0
Sep25_eb146e9b,precio,28900000.0,1,0,-6700000.0,21300000.0
Sep25_35b06328,precio,32500000.0,1,0,-6700000.0,21300000.0
Sep25_591e33a1,precio,23300000.0,1,0,-6700000.0,21300000.0
Sep25_828659e0,precio,70000000.0,1,1,-6700000.0,21300000.0
Sep25_b2891058,precio,28531999.0,1,0,-6700000.0,21300000.0
Sep25_88f46d50,precio,35000000.0,1,0,-6700000.0,21300000.0
Sep25_5f340983,precio,45000000.0,1,1,-6700000.0,21300000.0
Sep25_ebf6c698,precio,22950000.0,1,0,-6700000.0,21300000.0
Sep25_968668de,precio,23400000.0,1,0,-6700000.0,21300000.0
Sep25_855bbdff,precio,78000000.0,1,1,-6700000.0,21300000.0
Sep25_819746f2,precio,53000000.0,1,1,-6700000.0,21300000.0
Sep25_1de3f7fb,precio,21500000.0,1,0,-6700000.0,21300000.0
Sep25_26d75fc2,precio,50000000.0,1,1,-6700000.0,21300000.0
Sep25_c3595b88,precio,30900000.0,1,0,-6700000.0,21300000.0
Sep25_790814bf,precio,26000000.0,1,0,-6700000.0,21300000.0
Sep25_536a9d7c,precio,39865000.0,1,1,-6700000.0,21300000.0
Sep25_5861f705,precio,75900000.0,1,1,-6700000.0,21300000.0
Sep25_fd9af4c0,precio,40899999.0,1,1,-6700000.0,21300000.0
Sep25_3c04c1e6,precio,29500000.0,1,0,-6700000.0,21300000.0
Sep25_d8e61807,precio,33900000.0,1,0,-6700000.0,21300000.0
Sep25_8b1569fc,precio,54990000.0,1,1,-6700000.0,21300000.0
Sep25_998d8f2d,precio,36000000.0,1,0,-6700000.0,21300000.0
Sep25_95728795,precio,28950000.0,1,0,-6700000.0,21300000.0
Sep25_adcdd5a5,precio,35000000.0,1,0,-6700000.0,21300000.0
Sep25_0b769037,precio,37900000.0,1,0,-6700000.0,21300000.0
Sep25_a80464eb,precio,34929999.0,1,0,-6700000.0,21300000.0
Sep25_ca8ae342,precio,23900000.0,1,0,-6700000.0,21300000.0
Sep25_5614898c,precio,24648040.0,1,0,-6700000.0,21300000.0
Sep25_63ae92c1,precio,23390000.0,1,0,-6700000.0,21300000.0
Sep25_d3ed2cb4,precio,22100194.0,1,0,-6700000.0,21300000.0
Sep25_1d7b0229,precio,31574750.0,1,0,-6700000.0,21300000.0
Sep25_5595a8ec,precio,25270656.0,1,0,-6700000.0,21300000.0
Sep25_721643b9,precio,31232456.0,1,0,-6700000.0,21300000.0
Sep25_23722fd6,precio,33422200.0,1,0,-6700000.0,21300000.0
Sep25_32ed04ae,precio,28276389.0,1,0,-6700000.0,21300000.0
Sep25_f8529869,precio,24523462.0,1,0,-6700000.0,21300000.0
Sep25_aad248d8,precio,21463020.0,1,0,-6700000.0,21300000.0
Sep25_1e998efb,precio,25787140.0,1,0,-6700000.0,21300000.0
Sep25_3edbfe03,precio,39990000.0,1,1,-6700000.0,21300000.0
Sep25_4702987b,precio,49750000.0,1,1,-6700000.0,21300000.0
Sep25_18c77282,precio,24185451.0,1,0,-6700000.0,21300000.0
Sep25_f6878ab2,precio,22500000.0,1,0,-6700000.0,21300000.0
Sep25_523d3576,precio,21859372.0,1,0,-6700000.0,21300000.0
Sep25_78e036f7,precio,27000000.0,1,0,-6700000.0,21300000.0
Sep25_f22262a9,precio,36950000.0,1,0,-6700000.0,21300000.0
Sep25_4db2aaa7,precio,23893528.0,1,0,-6700000.0,21300000.0
Sep25_bad3f964,precio,24000000.0,1,0,-6700000.0,21300000.0
Sep25_e8aa70e5,precio,29257258.0,1,0,-6700000.0,21300000.0
Sep25_bb0a162f,precio,34500000.0,1,0,-6700000.0,21300000.0
Sep25_62de18b7,precio,29719012.0,1,0,-6700000.0,21300000.0
Sep25_1329d007,precio,21950000.0,1,0,-6700000.0,21300000.0
Sep25_05774fb3,precio,31875684.0,1,0,-6700000.0,21300000.0
Sep25_31904e15,precio,24900000.0,1,0,-6700000.0,21300000.0
Sep25_9e21f0e0,precio,29500000.0,1,0,-6700000.0,21300000.0
Sep25_06c91912,precio,34812411.0,1,0,-6700000.0,21300000.0
Sep25_98d9090a,precio,34700000.0,1,0,-6700000.0,21300000.0
Sep25_96768426,precio,21500000.0,1,0,-6700000.0,21300000.0
Sep25_f326e9d3,precio,40000000.0,1,1,-6700000.0,21300000.0
Sep25_ef947e2c,precio,29500000.0,1,0,-6700000.0,21300000.0
Sep25_d527760e,precio,30502984.0,1,0,-6700000.0,21300000.0
Sep25_c635fe29,precio,35021075.0,1,0,-6700000.0,21300000.0
Sep25_71a549f2,precio,33796516.0,1,0,-6700000.0,21300000.0
Sep25_2e794998,precio,28512327.0,1,0,-6700000.0,21300000.0
Sep25_3e9fc4fb,precio,45500000.0,1,1,-6700000.0,21300000.0
Sep25_b3ecee0d,precio,31800000.0,1,0,-6700000.0,21300000.0
Sep25_e3e897a8,precio,27995000.0,1,0,-6700000.0,21300000.0
Sep25_919548b6,precio,33000000.0,1,0,-6700000.0,21300000.0
Sep25_ea2f4f16,precio,32000000.0,1,0,-6700000.0,21300000.0
Sep25_6b898747,precio,24950000.0,1,0,-6700000.0,21300000.0
Sep25_1114ae53,precio,34000000.0,1,0,-6700000.0,21300000.0
Sep25_7433b1ea,precio,31300000.0,1,0,-6700000.0,21300000.0
Sep25_d93aec86,precio,36900000.0,1,0,-6700000.0,21300000.0
Sep25_c930ef77,precio,35900999.0,1,0,-6700000.0,21300000.0
Sep25_ff64d351,precio,37500000.0,1,0,-6700000.0,21300000.0
Sep25_1409a8ae,precio,32000000.0,1,0,-6700000.0,21300000.0
Sep25_a2e5c35f,precio,25000000.0,1,0,-6700000.0,21300000.0
Sep25_72fb5326,precio,22500000.0,1,0,-6700000.0,21300000.0
Sep25_f2ae3c16,precio,33850000.0,1,0,-6700000.0,21300000.0
Sep25_c7b5b124,precio,47000000.0,1,1,-6700000.0,21300000.0
Sep25_39067cb7,precio,36000000.0,1,0,-6700000.0,21300000.0
Sep25_ca52a7fa,precio,41000000.0,1,1,-6700000.0,21300000.0
Sep25_3670f456,precio,46000000.0,1,1,-6700000.0,21300000.0
Sep25_5d4948bc,precio,24000000.0,1,0,-6700000.0,21300000.0
Sep25_55a8401e,precio,27350000.0,1,0,-6700000.0,21300000.0
Sep25_21344345,precio,27000000.0,1,0,-6700000.0,21300000.0
Sep25_1e48b5c4,precio,22000000.0,1,0,-6700000.0,21300000.0
Sep25_4d4c8c41,precio,25528999.0,1,0,-6700000.0,21300000.0
Sep25_f21ad193,precio,38202999.0,1,0,-6700000.0,21300000.0
Sep25_8a004ea5,precio,69000000.0,1,1,-6700000.0,21300000.0
Sep25_980af69c,precio,21400000.0,1,0,-6700000.0,21300000.0
Sep25_78954c17,precio,25265999.0,1,0,-6700000.0,21300000.0
Sep25_7687d963,precio,23950000.0,1,0,-6700000.0,21300000.0
Sep25_a20a715a,precio,36990000.0,1,0,-6700000.0,21300000.0
Sep25_6e0c5205,precio,24750000.0,1,0,-6700000.0,21300000.0
Sep25_74562d27,precio,69000000.0,1,1,-6700000.0,21300000.0
Sep25_58565a99,precio,38500000.0,1,0,-6700000.0,21300000.0
Sep25_3544f45e,precio,37900000.0,1,0,-6700000.0,21300000.0
Sep25_ba6e058a,precio,28700000.0,1,0,-6700000.0,21300000.0
Sep25_6d4e686b,precio,22000000.0,1,0,-6700000.0,21300000.0
Sep25_fb091ba1,precio,55000000.0,1,1,-6700000.0,21300000.0
Sep25_b569cb7f,precio,36000000.0,1,0,-6700000.0,21300000.0
Sep25_a6308f21,precio,32000000.0,1,0,-6700000.0,21300000.0
Sep25_7dbca937,precio,23480999.0,1,0,-6700000.0,21300000.0
Sep25_f1a22d0e,precio,26000000.0,1,0,-6700000.0,21300000.0
Sep25_1475d4cb,precio,32000000.0,1,0,-6700000.0,21300000.0
Sep25_98162ef6,precio,21500000.0,1,0,-6700000.0,21300000.0
Sep25_b030f93f,precio,21900000.0,1,0,-6700000.0,21300000.0
Sep25_52b386af,precio,26650000.0,1,0,-6700000.0,21300000.0
Sep25_95354041,precio,42200999.0,1,1,-6700000.0,21300000.0
Sep25_ee37f9f4,precio,34000000.0,1,0,-6700000.0,21300000.0
Sep25_6adbe2c2,precio,43000000.0,1,1,-6700000.0,21300000.0
Sep25_e6a8db06,precio,50000000.0,1,1,-6700000.0,21300000.0
Sep25_a631d4ba,precio,39900000.0,1,1,-6700000.0,21300000.0
Sep25_f88be512,precio,32800000.0,1,0,-6700000.0,21300000.0
Sep25_08b3f886,precio,34500000.0,1,0,-6700000.0,21300000.0
Sep25_c0a66ed6,precio,31530000.0,1,0,-6700000.0,21300000.0
Sep25_4522bc74,precio,35000000.0,1,0,-6700000.0,21300000.0
Sep25_80e438f5,precio,40000000.0,1,1,-6700000.0,21300000.0
Sep25_67e23757,precio,23000000.0,1,0,-6700000.0,21300000.0
Sep25_cc92d6a9,precio,23400000.0,1,0,-6700000.0,21300000.0
Sep25_8de65b8f,precio,22750000.0,1,0,-6700000.0,21300000.0
Sep25_01c415df,precio,23500000.0,1,0,-6700000.0,21300000.0
Sep25_0e5b3e83,precio,24000000.0,1,0,-6700000.0,21300000.0
Sep25_b51672a3,precio,25000000.0,1,0,-6700000.0,21300000.0
Sep25_22f1bb8b,precio,22500000.0,1,0,-6700000.0,21300000.0
Sep25_0d41c885,precio,32500000.0,1,0,-6700000.0,21300000.0
Sep25_681c2444,precio,28780000.0,1,0,-6700000.0,21300000.0
Sep25_2579b3b6,precio,36950000.0,1,0,-6700000.0,21300000.0
Sep25_7632a50b,precio,34500000.0,1,0,-6700000.0,21300000.0
Sep25_f4c78e67,precio,32000000.0,1,0,-6700000.0,21300000.0
Sep25_10359e10,precio,25800000.0,1,0,-6700000.0,21300000.0
Sep25_952a20ca,precio,24840000.0,1,0,-6700000.0,21300000.0
Sep25_11911bb1,precio,29000000.0,1,0,-6700000.0,21300000.0
Sep25_aa4ac4c7,precio,65000000.0,1,1,-6700000.0,21300000.0
Sep25_f2ceb18c,precio,38500000.0,1,0,-6700000.0,21300000.0
Sep25_6481e2fd,precio,25000000.0,1,0,-6700000.0,21300000.0
Sep25_a3d94e8d,precio,33000000.0,1,0,-6700000.0,21300000.0
Sep25_119bf6ec,precio,55000000.0,1,1,-6700000.0,21300000.0
Sep25_538b41e7,precio,24000000.0,1,0,-6700000.0,21300000.0
Sep25_44a302f3,precio,43400000.0,1,1,-6700000.0,21300000.0
Sep25_c2de4992,precio,30800000.0,1,0,-6700000.0,21300000.0
Sep25_8f189fdd,precio,60000000.0,1,1,-6700000.0,21300000.0
Sep25_631b0a8a,precio,53000000.0,1,1,-6700000.0,21300000.0
Sep25_85b85c3b,precio,23000000.0,1,0,-6700000.0,21300000.0
Sep25_a22e473c,precio,32000000.0,1,0,-6700000.0,21300000.0
Sep25_0f679a90,precio,23710999.0,1,0,-6700000.0,21300000.0
Sep25_b5b0fd7c,precio,32279999.0,1,0,-6700000.0,21300000.0
Sep25_e9f3d3d2,precio,59990000.0,1,1,-6700000.0,21300000.0
Sep25_6512bf29,precio,24000000.0,1,0,-6700000.0,21300000.0
Sep25_6be64fb7,precio,36000000.0,1,0,-6700000.0,21300000.0
Sep25_a0da1403,precio,29900000.0,1,0,-6700000.0,21300000.0
Sep25_205eead6,precio,23950000.0,1,0,-6700000.0,21300000.0
Sep25_179666b6,precio,26500000.0,1,0,-6700000.0,21300000.0
Sep25_803f881f,precio,21770000.0,1,0,-6700000.0,21300000.0
Sep25_c17bf0df,precio,30000000.0,1,0,-6700000.0,21300000.0
Sep25_226fe650,precio,33000000.0,1,0,-6700000.0,21300000.0
Sep25_92c8611a,precio,25000000.0,1,0,-6700000.0,21300000.0
Sep25_107b85cf,precio,21990000.0,1,0,-6700000.0,21300000.0
