Ciudad,Colonia,operacion,tipo_propiedad,variable,valor
Gdl,Obrera,Ven,Dep,precio,5750000.0
Gdl,Vallarta Norte,Ven,Dep,precio,7910000.0
Gdl,Prados Providencia,Ven,Dep,precio,8000000.0
Gdl,Monraz,Ven,Dep,precio,11200000.0
Gdl,Arcos,Ven,Dep,precio,3550000.0
Gdl,Arcos,Ven,Dep,precio,4190000.0
Gdl,Monraz,Ven,Dep,precio,9000000.0
Gdl,Ladrón de Guevara,Ven,Dep,precio,3700000.0
Gdl,El Retiro,Ven,Dep,precio,2850000.0
Gdl,Ladrón de Guevara,Ven,Dep,precio,7800000.0
Gdl,Arcos Vallarta,Ven,Dep,precio,4900000.0
Gdl,Ladrón de Guevara,Ven,Dep,precio,6000000.0
Gdl,Arcos Vallarta,Ven,Dep,precio,4700000.0
Gdl,Country Club,Ven,Dep,precio,13900000.0
Gdl,Jardines del Bosque,Ven,Dep,precio,6550000.0
Gdl,Ladrón de Guevara,Ven,Dep,precio,5699000.0
Gdl,Jardines del Bosque,Ven,Dep,precio,8600000.0
Gdl,Ayuntamiento,Ren,Dep,precio,3750000.0
Gdl,Arcos Vallarta,Ven,Dep,precio,4900000.0
Gdl,Arcos Vallarta,Ven,Dep,precio,10000000.0
Gdl,Americana,Ven,Dep,precio,4290000.0
Gdl,Obrera,Ven,Dep,precio,3480000.0
Gdl,Americana,Ven,Dep,precio,4300000.0
Gdl,Arcos Vallarta,Ven,Dep,precio,4450000.0
Gdl,El Retiro,Ven,Dep,precio,2600000.0
Gdl,Chapalita,Ven,Dep,precio,6050000.0
Gdl,Providencia 3a Sección,Ven,Dep,precio,4850000.0
Gdl,Vallarta Norte,Ven,Dep,precio,8500000.0
Gdl,Providencia,Ven,Dep,precio,7017000.0
Gdl,Jardines de Los Arcos,Ven,Dep,precio,8112000.0
Gdl,Obrera,Ven,Dep,precio,7500000.0
Gdl,Americana,Ven,Dep,precio,24500000.0
Gdl,Vallarta Norte,Ven,Dep,precio,4200000.0
Gdl,Circunvalación Américas,Ven,Dep,precio,8590000.0
Gdl,Lomas del Country,Ven,Dep,precio,6000000.0
Gdl,Moderna,Ven,Dep,precio,5850000.0
Gdl,Ladrón de Guevara,Ven,Dep,precio,5300000.0
Gdl,Providencia 2a Sección,Ven,Dep,precio,6494000.0
Gdl,Ayuntamiento,Ven,Dep,precio,3300000.0
Zap,Coto Alva 1,Ven,Cas,precio,4550000.0
Gdl,Lomas del Country,Ven,Cas,precio,15950000.0
Zap,Bosque de Los Virreyes,Ven,Cas,precio,30177011.0
Zap,Prados Vallarta,Ven,Cas,precio,69000000.0
Gdl,Zona Centro,Ven,Cas,precio,13480000.0
Zap,Puerta del Bosque,Ven,Cas,precio,31500000.0
Zap,Boreales,Ven,Cas,precio,4680000.0
Zap,Chapalita de Occidente,Ven,Cas,precio,12900000.0
Gdl,Atlas,Ven,Cas,precio,2650000.0
Gdl,Colinas de San Javier,Ven,Cas,precio,35737840.0
Zap,La Giralda,Ven,Cas,precio,14490000.0
Zap,Puerta Las Lomas,Ven,Cas,precio,21277766.0
Zap,Lomas Altas,Ven,Cas,precio,9150000.0
Zap,Bosques Vallarta,Ven,Cas,precio,8749000.0
Gdl,Jardines del Bosque,Ven,Cas,precio,16950000.0
Zap,Las Arboledas,Ven,Cas,precio,6100000.0
Desconocido,Desconocida,Ven,Cas,precio,8850000.0
Zap,Puerta de Hierro,Ven,Cas,precio,26990000.0
Zap,Villa Verona,Ven,Cas,precio,17996626.0
Zap,Montes,Ven,Cas,precio,5400000.0
Gdl,Sutaj,Ven,Cas,precio,6950000.0
Gdl,Italia Providencia,Ven,Cas,precio,11500000.0
Zap,Virreyes,Ven,Cas,precio,12490000.0
Zap,Valeira,Ven,Cas,precio,9900000.0
Zap,Pontevedra,Ven,Cas,precio,4699000.0
Zap,Santa Isabel,Ven,Cas,precio,24400000.0
Zap,Valle Real,Ven,Cas,precio,27750000.0
Zap,Sendas Residencial G3,Ven,Cas,precio,4300000.0
Zap,Base Aérea Militar No 5,Ven,Cas,precio,7590000.0
Zap,Coto Galarza,Ven,Cas,precio,4440000.0
Zap,Soare II Coto2,Ven,Cas,precio,8695000.0
Zap,Altamira,Ven,Cas,precio,20000000.0
Gdl,Lomas de Guevara,Ven,Cas,precio,11300000.0
Zap,Puerta de Hierro,Ven,Cas,precio,17990000.0
Zap,Las Lomas Golf Hábitat,Ven,Cas,precio,31712538.0
Zap,Alicante,Ven,Cas,precio,4425000.0
Zap,Alicante,Ven,Cas,precio,4800000.0
Gdl,Colinas de San Javier,Ven,Cas,precio,27500000.0
Zap,Azaleas,Ven,Cas,precio,23990000.0
Zap,La Calma,Ven,Cas,precio,4500000.0
Zap,Vallarta Universidad,Ven,Cas,precio,16000000.0
Zap,Chapalita Las Fuentes,Ven,Cas,precio,5400000.0
Zap,Soare II Coto2,Ven,Cas,precio,9750000.0
Zap,Coto Galarza,Ven,Cas,precio,4320000.0
Zap,Base Aérea Militar No 5,Ven,Cas,precio,9400000.0
Zap,La Toscana,Ven,Cas,precio,14500000.0
Desconocido,Desconocida,Ven,Cas,precio,13792956.0
Zap,Puerta del Bosque,Ven,Cas,precio,32615000.0
Zap,Puerta Las Lomas,Ven,Cas,precio,27974632.0
Zap,Lagos del Country,Ven,Cas,precio,5240000.0
Desconocido,Desconocida,Ven,Cas,precio,5400000.0
Zap,Valeira,Ven,Cas,precio,9590000.0
Gdl,Colinas de San Javier,Ven,Cas,precio,59000000.0
Zap,Jardines de Santa Ana,Ven,Cas,precio,4999999.0
Zap,Parque Virreyes,Ven,Cas,precio,38000000.0
Zap,Alicante,Ven,Cas,precio,4700000.0
Zap,Parques de Tesistán,Ven,Cas,precio,2365000.0
Gdl,Lomas de Guevara,Ven,Cas,precio,26800000.0
Zap,Villa Universitaria,Ven,Cas,precio,24500000.0
Zap,Valle Imperial,Ven,Cas,precio,4500000.0
Zap,Paseos del Parque,Ven,Cas,precio,11100000.0
Zap,Soare II Coto2,Ven,Cas,precio,9830000.0
Zap,San Francisco,Ven,Cas,precio,3260000.0
Zap,Soare II Coto2,Ven,Cas,precio,6550000.0
Desconocido,Desconocida,Ven,Cas,precio,8400000.0
Zap,Santa Ana Tepetitlán,Ven,Cas,precio,3350082.0
Zap,El Centinela,Ven,Cas,precio,4456000.0
Zap,Ayamonte,Ven,Cas,precio,28546969.0
Zap,Valle Imperial,Ven,Cas,precio,4450000.0
Zap,Prados Vallarta,Ven,Cas,precio,4350000.0
Zap,Los Robles,Ven,Cas,precio,4400000.0
Gdl,Bosques de La Victoria,Ven,Cas,precio,14200000.0
Zap,Puerta del Valle,Ven,Cas,precio,10650000.0
Zap,Guadalajara (Technology Park),Ven,Cas,precio,8250000.0
Zap,Soare II Coto2,Ven,Cas,precio,8695000.0
Zap,Valle Norte,Ven,Cas,precio,2280000.0
Zap,Valle Imperial,Ven,Cas,precio,6908000.0
Gdl,Jardines de La Paz,Ven,Cas,precio,7390000.0
Zap,Prados Tepeyac,Ven,Cas,precio,10550000.0
Zap,Villa Verona,Ven,Cas,precio,17800000.0
Zap,Valle Real,Ven,Cas,precio,27990000.0
Zap,Arcos de Guadalupe,Ven,Cas,precio,13987000.0
Zap,Base Aérea Militar No 5,Ven,Cas,precio,7920000.0
Zap,Bosques Vallarta,Ven,Cas,precio,7000000.0
Zap,Alcázar Poniente,Ven,Cas,precio,31497138.0
Zap,La Calma,Ven,Cas,precio,4500000.0
Zap,Misión La Floresta,Ven,Cas,precio,2780000.0
Zap,Juan Manuel Vallarta,Ven,Cas,precio,12900000.0
Zap,Puerta de Hierro,Ven,Cas,precio,27500000.0
Zap,Jardines de Guadalupe,Ven,Cas,precio,8900000.0
Zap,Atemajac del Valle,Ven,Cas,precio,2650000.0
Zap,Palermo,Ven,Cas,precio,1399000.0
Zap,Tepeyac Casino,Ven,Cas,precio,10400000.0
Gdl,Huentitán El Bajo,Ven,Cas,precio,9500000.0
Zap,Paseos del Camichín,Ven,Cas,precio,4650000.0
Zap,Ciudad Bugambilias,Ven,Cas,precio,12350000.0
Zap,Santa Fe,Ven,Cas,precio,5490000.0
Zap,Bosques Vallarta,Ven,Cas,precio,7900000.0
Zap,La Estancia,Ven,Cas,precio,13800000.0
Zap,La Calma,Ven,Cas,precio,6990000.0
Zap,Ciudad Bugambilias,Ven,Cas,precio,14900000.0
Zap,Tabachines,Ven,Cas,precio,3700000.0
Zap,Ciudad del Sol,Ven,Cas,precio,25000000.0
Zap,Valeira,Ven,Cas,precio,7490000.0
Zap,Villa Universitaria,Ven,Cas,precio,45000000.0
Zap,La Patria Universidad,Ven,Cas,precio,10790000.0
Zap,Jacarandas,Ven,Cas,precio,10900000.0
Zap,Loma Real,Ven,Cas,precio,19800000.0
Gdl,Santa Elena Alcalde,Ven,Cas,precio,5950000.0
Zap,Soare Acantia I,Ven,Cas,precio,8300000.0
Zap,Campo Real,Ven,Cas,precio,3390000.0
Gdl,Chapalita,Ven,Cas,precio,11700000.0
Zap,Pinar de La Calma,Ven,Cas,precio,10790000.0
Zap,El Tizate,Ven,Cas,precio,3200000.0
Zap,San Juan de Ocotán,Ven,Cas,precio,6290000.0
Zap,Virreyes,Ven,Cas,precio,12400000.0
Gdl,Circunvalación Vallarta,Ven,Cas,precio,35000000.0
Zap,Altamira,Ven,Cas,precio,7650000.0
Gdl,Del Bosque,Ven,Cas,precio,7500000.0
Gdl,Chapalita,Ven,Cas,precio,10500000.0
Zap,Lomas de Guadalupe,Ven,Cas,precio,6980000.0
Zap,Alianza de Cazadores Diana,Ven,Cas,precio,17200000.0
Zap,Lomas del Valle,Ven,Cas,precio,20000000.0
Gdl,Victoria,Ven,Cas,precio,18000000.0
Zap,Valle Real,Ven,Cas,precio,27925999.0
Zap,Mesa de Los Ocotes,Ven,Cas,precio,2200000.0
Zap,Solares,Ven,Cas,precio,7200000.0
Desconocido,Desconocida,Ven,Cas,precio,20000000.0
Zap,Vistas del Valle 1,Ven,Cas,precio,7950000.0
Zap,Boreales,Ven,Cas,precio,4690000.0
Zap,Bosques de San Isidro (Las Cañadas),Ven,Cas,precio,18500000.0
Gdl,Chapalita,Ven,Cas,precio,6500000.0
Zap,Bosques Vallarta,Ven,Cas,precio,7900000.0
Desconocido,Desconocida,Ven,Cas,precio,8400000.0
Gdl,Del Fresno,Ven,Cas,precio,2450000.0
Gdl,Chapalita,Ven,Cas,precio,6750000.0
Zap,Virreyes,Ven,Cas,precio,17800000.0
Gdl,Colinas de San Javier,Ven,Cas,precio,30000000.0
Zap,Ciudad Bugambilias,Ven,Cas,precio,8200000.0
Zap,Lucero del Valle,Ven,Cas,precio,2750000.0
Zap,Parque Virreyes,Ven,Cas,precio,16500000.0
Zap,Reserva Real,Ven,Cas,precio,35000000.0
Zap,Lagos del Country,Ven,Cas,precio,9750000.0
Gdl,Zona Centro,Ven,Cas,precio,5200000.0
Zap,Pontevedra,Ven,Cas,precio,4498000.0
Zap,Valle Imperial,Ven,Cas,precio,4975000.0
Zap,Ciudad Bugambilias,Ven,Cas,precio,12900000.0
Zap,Ciudad Bugambilias,Ven,Cas,precio,9895000.0
Zap,Real de Valdepeñas,Ven,Cas,precio,3500000.0
Zap,Real Vallarta,Ven,Cas,precio,8390000.0
Desconocido,Desconocida,Ven,Cas,precio,8617500.0
Zap,Ciudad del Sol,Ven,Cas,precio,32900000.0
Zap,Puerta Las Lomas,Ven,Cas,precio,33549999.0
Zap,Valle Real,Ven,Cas,precio,17490000.0
Zap,Puerta Las Lomas,Ven,Cas,precio,27500000.0
Zap,Puerta de Hierro,Ven,Cas,precio,32800000.0
Gdl,Moderna,Ven,Cas,precio,6500000.0
Zap,Real del Bosque,Ven,Cas,precio,3900000.0
Zap,Valle Real,Ven,Cas,precio,28000000.0
Gdl,Bosques de La Victoria,Ven,Cas,precio,8350000.0
Zap,La Toscana,Ven,Cas,precio,15250000.0
Zap,Maple Coto 1,Ven,Cas,precio,8400000.0
Zap,Jardines del Vergel,Ven,Cas,precio,3999900.0
Zap,Las Fuentes,Ven,Cas,precio,24000000.0
Gdl,Americana,Ven,Cas,precio,18900000.0
Zap,Santa Isabel,Ven,Cas,precio,16000000.0
Zap,Bosques Vallarta,Ven,Cas,precio,8450000.0
Zap,Valle Imperial,Ven,Cas,precio,5290000.0
Gdl,Providencia,Ven,Cas,precio,8490000.0
Gdl,Arcos Vallarta,Ven,Cas,precio,14000000.0
Zap,Loma Bonita,Ven,Cas,precio,9980000.0
Zap,Real de Valdepeñas,Ven,Cas,precio,6300000.0
Gdl,Miravalle,Ven,Cas,precio,2900000.0
Zap,Ciudad del Sol,Ven,Cas,precio,15600000.0
Gdl,Lomas del Country,Ven,Cas,precio,13000000.0
Zap,Puerta Las Lomas,Ven,Cas,precio,28900000.0
Gdl,La Esperanza (La Federacha),Ven,Cas,precio,2200000.0
Zap,Castaños,Ven,Cas,precio,8950000.0
Gdl,Aldama Tetlán,Ven,Cas,precio,2360000.0
Zap,Lomas de Zapopan,Ven,Cas,precio,3980000.0
Zap,Cañadas,Ven,Cas,precio,5200000.0
Zap,Paseos del Sol,Ven,Cas,precio,4100000.0
Zap,El Colli Urbano,Ven,Cas,precio,5500000.0
Desconocido,Desconocida,Ven,Cas,precio,32500000.0
Gdl,Plutarco Elías Calles,Ven,Cas,precio,2200000.0
Gdl,El Sauz,Ven,Cas,precio,3200000.0
Zap,Colinas Virreyes,Ven,Cas,precio,23300000.0
Zap,Victoria,Ven,Cas,precio,9900000.0
Zap,Tierra Residencial,Ven,Cas,precio,2490000.0
Desconocido,Desconocida,Ven,Cas,precio,3900000.0
Zap,Valle de San Isidro,Ven,Cas,precio,3600000.0
Zap,Ayamonte,Ven,Cas,precio,70000000.0
